,Leaf,Stem_bottom,Root,Juice
WT,0.03,0.04,0.09,0.04
L1,0.51,0.17,0.61,0.09
L2,4.87,1.68,0.63,1.09
L3,2.25,0.77,1.12,0.39
L4,3.96,1.74,1.77,0.88
