	Sample231	Sample232	Sample233	Sample234	Sample33	Sample34	Sample35	Sample36	Sample73	Sample74	Sample75	Sample76	Sample113	Sample114	Sample115	Sample116	Sample153	Sample154	Sample155	Sample156
ASV6	0	0	24	0	101	25	61	0	57	0	0	13	85	0	52	37	32	39	26	65
ASV8	14	8	20	0	101	28	137	0	51	17	28	18	256	0	142	18	47	27	16	32
ASV15	173	297	174	167	292	337	251	552	356	296	484	320	211	391	28	631	339	287	426	311
ASV16	91	103	166	49	348	920	680	509	307	240	473	206	1332	103	1255	177	365	664	329	658
ASV18	55	66	87	35	73	211	237	0	122	99	118	61	246	54	745	141	134	197	124	164
ASV24	210	245	155	210	316	394	290	581	239	250	406	266	301	332	94	573	294	229	393	330
ASV27	39	31	116	23	91	251	340	93	140	84	156	42	659	43	1163	94	170	155	61	261
ASV38	122	216	102	189	274	270	207	377	340	209	419	280	224	331	29	497	349	248	356	267
ASV47	0	0	0	0	8	27	19	28	18	12	18	0	56	0	70	0	12	20	0	18
